BEVOEGD GEZAG NUMMER;INSTELLING;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO
41854;14RL;14RL00;VOvA (2);AMSTERDAM;363;AMSTERDAM;Noord-Holland;324;0
41854;14RL;14RL03;Locatie, Tobiasschool;AMSTERDAM;363;AMSTERDAM;Noord-Holland;190;0
41854;14RL;14RL06;Locatie, Luca Praktijkschool;AMSTERDAM;363;AMSTERDAM;Noord-Holland;180;0
41854;21AS;21AS00;VOvA (1);AMSTERDAM;363;AMSTERDAM;Noord-Holland;249;<5
41854;21AS;21AS03;loc, Bredero Beroepscollege;AMSTERDAM;363;AMSTERDAM;Noord-Holland;135;0
41854;21AS;21AS07;loc, Bredero Mavo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;527;<5
41854;21AS;21AS08;loc, Hyperion Lyceum;AMSTERDAM;363;AMSTERDAM;Noord-Holland;855;<5
41854;21AS;21AS09;Loc, Vox College;AMSTERDAM;363;AMSTERDAM;Noord-Holland;277;0
41864;17AY;17AY00;Cambium College;ZALTBOMMEL;297;ZALTBOMMEL;Gelderland;1309;<5
41864;17AY;17AY04;Scholengroep Cambium;ZALTBOMMEL;297;ZALTBOMMEL;Gelderland;383;0
41867;02IC;02IC00;RGO Beroepscampus;SOMMELSDIJK;1924;GOEREE-OVERFLAKKEE;Zuid-Holland;589;0
41867;02IC;02IC01;RGO Beroepscampus;SOMMELSDIJK;1924;GOEREE-OVERFLAKKEE;Zuid-Holland;24;0
41867;15QW;15QW00;RGO College;MIDDELHARNIS;1924;GOEREE-OVERFLAKKEE;Zuid-Holland;1154;6
41882;30BC;30BC00;SiNTLUCAS;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;500;0
41883;25DA;25DA00;Atlas College;HOORN NH;405;HOORN;Noord-Holland;1503;10
41883;25DA;25DA02;Copernicus SG;HOORN NH;405;HOORN;Noord-Holland;1131;8
41883;25DA;25DA04;SG De Dijk;MEDEMBLIK;420;MEDEMBLIK;Noord-Holland;429;0
41883;25DA;25DA08;SG Newton;HOORN NH;405;HOORN;Noord-Holland;781;0
41883;25DA;25DA09;SG De Triade;EDAM;385;EDAM-VOLENDAM;Noord-Holland;572;0
41889;20LA;20LA00;Opb SGM Esdal College;EMMEN;114;EMMEN;Drenthe;1183;<5
41889;20LA;20LA02;Opb SGM Esdal College;KLAZIENAVEEN;114;EMMEN;Drenthe;452;0
41889;20LA;20LA03;Opb SGM Esdal College;EMMEN;114;EMMEN;Drenthe;386;0
41889;20LA;20LA05;Opb SGM Esdal College;EMMEN;114;EMMEN;Drenthe;247;0
41889;20LA;20LA06;Opb SGM Esdal College;OOSTERHESSELEN;109;COEVORDEN;Drenthe;172;0
41889;20LA;20LA07;Opb SGM Esdal College;BORGER;1681;BORGER-ODOORN;Drenthe;215;0
41897;11NY;11NY00;Reg Sgm Broklede;BREUKELEN UT;1904;STICHTSE VECHT;Utrecht;1096;<5
41897;17HX;17HX00;Mgr A E Rientjes Mavo;MAARSSEN;1904;STICHTSE VECHT;Utrecht;414;<5
42356;00SZ;00SZ00;Joh Fontanus College;BARNEVELD;203;BARNEVELD;Gelderland;2267;10
42505;20DP;20DP00;Stedelijk Gymnasium;LEIDEN;546;LEIDEN;Zuid-Holland;879;<5
42505;30GD;30GD00;Stedelijk Gymnasium Socrates;LEIDEN;546;LEIDEN;Zuid-Holland;869;0
42506;20CL;20CL00;Leonardo College;LEIDEN;546;LEIDEN;Zuid-Holland;896;6
42506;20DF;20DF00;Da Vinci College;LEIDEN;546;LEIDEN;Zuid-Holland;1345;7
42506;20DF;20DF01;Da Vinci College;LEIDEN;546;LEIDEN;Zuid-Holland;534;0
42506;20DF;20DF09;Da Vinci College;LEIDEN;546;LEIDEN;Zuid-Holland;290;0
42507;08CU;08CU00;Emmauscollege;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;1680;21
42508;16IH;16IH00;RSG Ter Apel;TER APEL;1950;WESTERWOLDE;Groningen;819;<5
42508;16IH;16IH03;RSG Ter Apel;TER APEL;1950;WESTERWOLDE;Groningen;106;0
42510;13ZU;13ZU00;Reitdiepcollege;GRONINGEN;14;GRONINGEN;Groningen;1143;21
42510;13ZU;13ZU02;Reitdiepcollege;GRONINGEN;14;GRONINGEN;Groningen;662;0
42510;13ZU;13ZU03;Reitdiepcollege;GRONINGEN;14;GRONINGEN;Groningen;139;0
42510;17SG;17SG00;Heyerdahl College;GRONINGEN;14;GRONINGEN;Groningen;186;0
42510;20BV;20BV00;Praedinius Gymnasium;GRONINGEN;14;GRONINGEN;Groningen;782;<5
42510;20EM;20EM00;H.N. Werkman College;GRONINGEN;14;GRONINGEN;Groningen;1431;19
42510;20EM;20EM01;ISK Groningen;GRONINGEN;14;GRONINGEN;Groningen;445;0
42510;20EM;20EM03;Topsport Talentschool;GRONINGEN;14;GRONINGEN;Groningen;351;<5
