PC4 Code,Gemeente Code,Gemeente Name,Total Employment 2018-19,Total Across Categories,"Advisering, onderzoek en overige specialistische zakelijke dienstverlening",Bouwnijverheid,"Cultuur, sport en recreatie",Detailhandel,Extraterritoriale organisaties en lichamen,Financiële instellingen,Gezondheids- en welzijnszorg,Groothandel,Industrie,Informatie en communicatie,"Landbouw, bosbouw en visserij","Logies-, maaltijd- en drankverstrekking",Onderwijs,"Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen",Overige dienstverlening,"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht",Verhuur van en handel in onroerend goed,Verhuur van roerende goederen en overige zakelijke dienstverlening,Vervoer en opslag,Winning en distributie van water: afval- en afvalwaterbeheer en sanering,Winning van delfstoffen 
2071,453,Velsen,2499,2490,220,100,40,370,0,10,880,70,60,30,10,420,120,0,80,0,10,60,10,0,0
2082,453,Velsen,630,640,200,30,30,80,0,10,70,20,10,20,10,30,40,0,40,0,10,30,10,0,0
2101,397,Heemstede,2801,2800,380,80,80,840,0,30,420,40,80,70,0,180,170,200,110,0,30,80,10,0,0
2102,397,Heemstede,1880,1890,310,110,40,260,0,10,390,140,60,50,0,50,200,20,110,0,50,50,0,40,0
2103,397,Heemstede,959,930,150,100,60,50,0,0,310,20,10,20,0,20,120,0,40,0,10,20,0,0,0
2104,397,Heemstede,528,520,110,30,50,60,0,0,120,20,0,20,0,10,20,0,20,0,30,20,10,0,0
2105,397,Heemstede,1576,1580,240,20,20,30,0,0,1000,60,30,20,10,30,60,0,30,0,10,20,0,0,0
2106,397,Heemstede,891,890,220,60,20,240,0,20,50,60,10,30,10,70,40,0,20,0,10,30,0,0,0
2111,377,Bloemendaal,833,830,250,10,20,20,0,20,150,40,0,50,0,20,140,0,30,0,20,50,10,0,0
2114,377,Bloemendaal,448,350,50,20,20,50,0,10,20,20,0,10,10,70,20,0,20,0,0,20,10,100,0
2116,473,Zandvoort,214,190,40,0,10,10,0,0,90,30,0,0,0,10,0,0,0,0,0,0,0,0,0
2121,377,Bloemendaal,1139,1140,170,50,80,170,0,0,360,20,20,20,10,60,80,0,50,0,10,30,10,0,0
2131,394,Haarlemmermeer,5422,5440,740,320,390,460,0,30,810,290,550,190,30,230,760,100,80,0,90,190,180,0,0
2132,394,Haarlemmermeer,33077,33080,4760,700,1090,2910,0,570,1180,4870,1230,3390,60,2480,970,1560,760,10,110,2550,3760,0,120
2133,394,Haarlemmermeer,1392,1390,140,60,30,270,0,10,440,30,20,40,0,90,130,0,30,0,10,40,50,0,0
2134,394,Haarlemmermeer,6304,6300,520,220,190,800,0,20,2940,130,40,230,10,200,650,0,120,0,10,140,80,0,0
2135,394,Haarlemmermeer,2038,2040,260,100,50,470,0,10,190,60,10,90,10,120,400,0,70,0,10,140,50,0,0
2136,394,Haarlemmermeer,700,710,60,60,10,110,0,0,10,80,40,10,80,10,40,0,10,0,0,170,10,10,0
2141,394,Haarlemmermeer,1695,1680,180,210,40,330,0,0,90,160,120,40,40,70,80,0,40,0,40,50,160,30,0
2142,394,Haarlemmermeer,3457,3460,120,250,30,620,0,30,890,150,970,20,10,130,120,0,0,0,10,60,50,0,0
2143,394,Haarlemmermeer,437,450,30,30,10,30,0,0,10,40,120,0,10,110,10,0,10,0,0,30,10,0,0
2144,394,Haarlemmermeer,350,330,20,70,40,20,0,0,20,10,0,10,30,30,0,0,0,0,0,20,0,60,0
2151,394,Haarlemmermeer,3249,3250,300,150,70,1030,0,60,480,170,30,100,20,190,280,30,120,0,30,100,90,0,0
2152,394,Haarlemmermeer,2365,2360,350,220,110,240,0,10,300,100,60,90,50,70,410,0,90,0,20,180,60,0,0
2153,394,Haarlemmermeer,6570,6570,710,510,60,310,0,20,170,1040,1300,270,90,150,60,0,100,0,30,410,1230,110,0
2154,394,Haarlemmermeer,196,190,20,10,10,20,0,0,10,60,20,0,20,10,0,0,10,0,0,0,0,0,0
2155,394,Haarlemmermeer,73,70,0,0,0,0,0,0,0,20,0,0,10,30,0,0,0,0,0,10,0,0,0
2156,394,Haarlemmermeer,141,110,0,10,0,30,0,0,0,30,10,0,30,0,0,0,0,0,0,0,0,0,0
2157,394,Haarlemmermeer,267,270,20,20,0,40,0,0,10,30,0,0,80,10,20,0,20,0,0,10,10,0,0
2158,394,Haarlemmermeer,153,160,10,20,10,20,0,0,10,0,10,0,30,30,10,0,0,0,0,0,10,0,0
2165,394,Haarlemmermeer,1048,1050,120,130,20,80,0,30,30,190,100,20,160,40,40,0,10,0,0,70,10,0,0
3625,1696,Wijdemeren,69,60,20,0,10,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0
8211,995,Lelystad,2409,2380,170,100,10,60,0,0,60,550,950,150,0,0,0,0,30,0,0,260,20,20,0
8212,995,Lelystad,678,660,110,50,30,240,0,0,70,20,10,30,0,0,50,0,30,0,0,20,0,0,0
8218,995,Lelystad,3690,3590,300,80,100,30,0,0,60,1060,320,330,0,140,220,20,0,0,0,730,200,0,0
8219,995,Lelystad,1449,1330,610,200,50,20,0,0,100,20,130,20,0,30,40,20,20,0,0,40,20,10,0
8221,995,Lelystad,186,190,20,0,30,0,0,0,0,10,40,10,0,10,0,0,0,40,0,10,10,10,0
8222,995,Lelystad,76,50,20,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0
8223,995,Lelystad,1837,1830,40,110,130,320,0,0,440,20,20,20,0,100,320,70,50,0,80,50,30,30,0
8224,995,Lelystad,3190,3210,480,70,90,340,0,10,1000,10,30,30,0,220,390,340,90,0,20,50,40,0,0
8225,995,Lelystad,1413,1410,90,80,20,180,0,0,680,20,30,40,0,30,170,0,30,0,0,30,10,0,0
8226,995,Lelystad,2055,2040,190,120,90,300,0,20,260,80,50,100,0,210,220,0,70,0,10,300,20,0,0
8231,995,Lelystad,980,1000,70,60,20,30,0,10,440,20,10,50,0,40,130,0,40,0,10,60,10,0,0
8232,995,Lelystad,5408,5420,500,60,80,930,0,30,800,70,30,130,0,260,170,1440,90,0,20,530,280,0,0
8233,995,Lelystad,2479,2480,100,0,0,40,0,80,1030,0,30,20,0,0,190,910,10,0,0,30,0,40,0
8239,995,Lelystad,1630,1610,50,20,0,430,0,0,0,570,130,10,0,20,30,160,10,0,0,50,130,0,0
8241,995,Lelystad,208,210,80,10,20,10,0,0,10,10,0,10,0,0,10,0,10,0,10,20,10,0,0
8242,995,Lelystad,2388,2380,160,70,100,1120,0,0,130,90,30,40,0,400,90,0,60,0,10,50,30,0,0
8243,995,Lelystad,5114,5130,290,490,60,560,0,10,460,470,1510,80,0,100,180,40,80,0,20,390,360,30,0
8244,995,Lelystad,554,540,120,50,40,40,0,0,80,20,20,30,0,30,40,0,20,0,0,30,20,0,0
8245,995,Lelystad,802,800,130,60,60,120,0,10,160,20,10,60,0,0,90,0,30,0,0,40,10,0,0
