PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20181001;01AI;0;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;614;Westvoorne;Zuid-Holland;So;3-apr;Algemeen bijzonder;62077;0;6;10;9;14;8;26;24;27;15;2;0;0;0;0;0;0;0;0;0;0;0;0;141
20181001;01AI;1;Mw Dr CP Gelinksch;3207BH;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;So;3-apr;Algemeen bijzonder;62077;0;0;8;12;10;19;23;20;16;8;0;0;0;0;0;0;0;0;0;0;0;0;0;116
20181001;01AI;2;Mw Dr CP Gelinksch;3224HE;HELLEVOETSLUIS;530;Hellevoetsluis;Zuid-Holland;So;3-apr;Algemeen bijzonder;62077;0;5;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20181001;01AI;4;Mw Dr CP Gelinckschool;3121JN;SCHIEDAM;606;Schiedam;Zuid-Holland;So;3-apr;Algemeen bijzonder;62077;0;0;0;0;5;10;14;10;23;9;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20181001;01AJ;0;Dr A Verschoor School;8072DD;NUNSPEET;302;Nunspeet;Gelderland;So;3-apr;Algemeen bijzonder;62129;0;2;14;17;23;32;28;46;30;23;4;0;0;0;0;0;0;0;0;0;0;0;0;219
20181001;01AJ;1;Dr A Verschoor School;3842AE;HARDERWIJK;243;Harderwijk;Gelderland;Vso;3-apr;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;2;8;7;0;0;0;0;0;0;0;0;0;0;0;17
20181001;01AJ;2;Dr A Verschoor School;8162BB;EPE;232;Epe;Gelderland;So;3-apr;Algemeen bijzonder;62129;0;0;1;0;3;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20181001;01AK;0;SSBO Johan Seckel;7731BL;OMMEN;175;Ommen;Overijssel;Sbo;nvt;Protestants-Christelijk;62181;0;4;11;8;11;21;30;27;26;10;2;0;0;0;0;0;0;0;0;0;0;0;0;150
20181001;01BO;0;SSBO Toermalijn;7822EM;EMMEN;114;Emmen;Drenthe;Sbo;nvt;Rooms-Katholiek;45000;0;0;6;3;8;17;23;32;20;7;0;0;0;0;0;0;0;0;0;0;0;0;0;116
20181001;01BS;0;Schreuder College;3053ZV;ROTTERDAM;599;Rotterdam;Zuid-Holland;Vso;3-apr;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;5;19;22;23;20;17;0;0;0;0;0;0;0;0;106
