PEILDATUM;INSTELLINGSCODE;VESTIGINGSCODE;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20221001;01JO;17;Prof. van Gilseschool Haarlem;2015KN;HAARLEM; 392;Haarlem;Noord-Holland;So;Cluster 2;Algemeen bijzonder;41314;0;19;34;34;26;17;16;14;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;170
20221001;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP; 394;Haarlemmermeer;Noord-Holland;So;Cluster 2;Algemeen bijzonder;41314;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20221001;01JO;19;Prof. van Gilseschool;1964ST;HEEMSKERK; 396;Heemskerk;Noord-Holland;So;Cluster 2;Algemeen bijzonder;41314;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20221001;01JO;20;Auris Taalfontein;3078PE;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;Cluster 2;Algemeen bijzonder;41314;0;12;32;30;25;24;19;16;18;7;0;0;0;0;0;0;0;0;0;0;0;0;0;183
20221001;01JO;21;Auris Fortaal;3563EN;UTRECHT; 344;Utrecht;Utrecht;So;Cluster 2;Algemeen bijzonder;41314;0;0;0;0;0;15;19;31;17;16;2;0;0;0;0;0;0;0;0;0;0;0;0;100
20221001;01JO;22;Auris Taalkring;1212CB;HILVERSUM; 402;Hilversum;Noord-Holland;So;Cluster 2;Algemeen bijzonder;41314;0;10;7;14;19;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
20221001;01JO;23;Auris College Goes;4461NB;GOES; 664;Goes;Zeeland;Vso;Cluster 2;Algemeen bijzonder;41314;0;0;0;0;0;0;0;0;0;4;14;14;13;12;12;3;0;0;0;0;0;0;0;72
20221001;01JQ;00;De Windvang;2221CE;KATWIJK ZH; 537;Katwijk;Zuid-Holland;Sbo;nvt;Protestants-Christelijk;41008;0;0;0;1;7;12;15;31;23;10;1;0;0;0;0;0;0;0;0;0;0;0;0;100
20221001;01JR;00;VSO School Werkenrode;6561KE;GROESBEEK;1945;Berg en Dal;Gelderland;Vso;  3;Algemeen bijzonder;41531;0;0;0;0;0;0;0;0;0;7;37;37;34;36;39;13;6;0;0;0;0;0;0;209
20221001;01JW;00;SBO De Kristal;3607TC;MAARSSEN;1904;Stichtse Vecht;Utrecht;Sbo;nvt;Algemeen bijzonder;41879;0;5;8;9;6;19;19;25;25;13;0;0;0;0;0;0;0;0;0;0;0;0;0;129
20221001;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;1581;Utrechtse Heuvelrug;Utrecht;Vso;  4;Openbaar;40132;0;0;0;0;0;0;0;0;0;1;5;7;21;16;4;1;0;0;0;0;0;0;0;55
20221001;01KI;02;De Heuvelrug (De Lindenhorst);3707CC;ZEIST; 355;Zeist;Utrecht;Vso;  4;Algemeen bijzonder;40132;0;0;0;0;0;0;0;0;0;0;0;3;3;9;4;0;0;0;0;0;0;0;0;19
20221001;01KJ;00;De Keerkring;3443EJ;WOERDEN; 632;Woerden;Utrecht;Sbo;nvt;Algemeen bijzonder;70002;0;3;4;9;16;31;38;33;36;10;0;0;0;0;0;0;0;0;0;0;0;0;0;180
20221001;01KX;00;Bets Frijlingschool;1442EC;PURMEREND; 439;Purmerend;Noord-Holland;So;  4;Algemeen bijzonder;62077;0;0;0;2;2;6;8;13;6;5;2;0;0;0;0;0;0;0;0;0;0;0;0;44
20221001;01KY;00;SSBO De Baldakijn;9501TJ;STADSKANAAL;  37;Stadskanaal;Groningen;Sbo;nvt;Algemeen bijzonder;41358;0;3;12;14;23;26;45;33;38;27;1;0;0;0;0;0;0;0;0;0;0;0;0;222
20221001;01KZ;00;SBO;7681ZN;VROOMSHOOP;1700;Twenterand;Overijssel;Sbo;nvt;Protestants-Christelijk;61751;0;3;1;10;13;15;20;14;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;104
20221001;01LB;00;De Ruimte;1862PX;BERGEN NH; 373;Bergen (NH.);Noord-Holland;So;  3;Algemeen bijzonder;40837;0;6;9;19;20;29;17;19;10;8;3;0;0;0;0;0;0;0;0;0;0;0;0;140
20221001;01LB;00;De Ruimte;1862PX;BERGEN NH; 373;Bergen (NH.);Noord-Holland;Vso;  3;Algemeen bijzonder;40837;0;0;0;0;0;0;0;0;0;1;6;1;1;4;4;4;1;0;0;0;0;0;0;22
